16.843222;-77.874847;
17.002119;-76.792877;
17.161016;-75.921333;
17.319916;-76.163544;
17.478813;-76.457939;
17.637712;-76.877510;
17.796610;-77.322014;
17.955509;-77.134003;
18.114407;-78.140526;
18.273306;-78.710564;
18.432203;-77.813484;
18.591103;-77.498131;
18.750000;-78.119698;
18.908899;-78.622063;
19.067797;-78.847191;
19.226696;-78.956848;
19.385593;-79.004410;
19.544493;-78.875206;
19.703390;-79.175041;
19.862289;-79.874298;
20.021187;-80.879608;
20.180086;-80.560890;
20.338984;-79.649765;
20.497881;-78.882675;
20.656780;-78.101067;
20.815678;-78.009590;
20.974577;-78.493370;
21.133474;-78.989952;
21.292374;-79.769798;
21.451271;-79.723030;
21.610170;-78.920479;
21.769068;-79.172089;
21.927967;-78.923759;
22.086864;-77.603737;
22.245764;-76.859680;
22.404661;-77.298950;
22.563560;-74.495247;
22.722458;-69.246078;
22.881357;-65.873917;
23.040255;-64.842880;
23.199154;-64.104340;
23.358051;-65.865448;
23.516951;-71.422783;
23.675848;-76.089066;
23.834745;-77.815063;
23.993645;-78.814423;
24.152542;-80.326515;
24.311441;-81.242035;
24.470339;-79.918930;
24.629238;-79.080978;
24.788136;-79.562965;
24.947035;-80.117966;
25.105932;-80.647293;
25.264832;-81.103386;
25.423729;-81.331757;
25.582628;-81.534950;
25.741526;-81.822731;
25.900425;-80.659081;
26.059322;-78.888565;
26.218222;-78.815430;
26.377119;-79.741875;
26.536018;-79.922630;
26.694916;-79.145866;
26.853815;-78.260994;
27.012712;-75.847366;
27.171610;-71.015732;
27.330509;-66.028862;
27.489407;-63.445091;
27.648306;-63.240757;
27.807203;-62.606018;
27.966103;-63.151608;
28.125000;-66.872841;
28.283899;-71.564285;
28.442797;-74.579468;
28.601696;-77.554123;
28.760593;-79.762070;
28.919493;-81.156677;
29.078390;-81.784882;
29.237289;-81.991074;
29.396187;-81.253807;
29.555086;-81.459343;
29.713984;-82.116516;
29.872883;-82.080345;
30.000000;-81.919418;
30.172066;-82.810036;
30.921053;-82.496582;
31.670040;-82.413040;
32.419029;-83.181961;
33.168015;-83.645515;
33.917004;-83.110016;
34.665993;-82.417007;
35.414978;-83.036743;
36.163967;-82.694710;
36.912956;-82.484612;
37.661942;-83.209175;
38.410931;-83.151276;
39.159920;-83.544075;
39.908905;-84.132813;
40.657894;-84.678314;
41.406883;-83.771980;
42.155869;-82.947525;
42.904858;-83.872627;
43.653847;-85.143341;
44.402832;-84.524590;
45.151821;-83.646332;
45.900810;-83.035225;
46.649796;-83.432686;
47.398785;-84.774300;
48.147774;-85.846138;
48.896759;-82.314255;
49.645748;-66.405067;
50.394737;-61.402100;
51.143723;-67.289787;
51.892712;-84.105881;
52.641701;-85.404053;
53.390686;-85.336914;
54.139675;-85.090538;
54.888664;-84.883568;
55.637650;-85.815575;
56.386635;-86.795624;
57.135628;-86.148994;
57.884613;-86.312088;
58.633598;-86.341827;
59.382591;-86.589348;
60.131577;-86.518051;
60.880562;-87.158485;
61.629555;-86.964058;
62.378540;-86.714798;
63.127525;-86.797607;
63.876518;-87.282104;
64.625504;-87.167412;
65.374489;-87.686935;
66.123482;-88.248802;
66.872467;-87.232300;
67.621452;-86.495499;
68.370445;-87.090416;
69.119431;-86.781693;
69.868416;-87.083389;
70.617409;-87.106705;
71.366394;-86.903572;
72.115379;-86.957375;
72.864372;-87.772438;
73.613358;-87.004066;
74.362343;-87.038025;
75.111336;-87.126472;
75.860321;-87.349167;
76.609306;-87.597275;
77.358299;-87.747742;
78.107285;-87.208832;
78.856270;-87.227547;
79.605263;-88.353264;
80.354248;-89.264412;
81.103233;-88.942520;
81.852226;-88.201714;
82.601212;-88.477509;
83.350197;-88.579460;
84.099190;-88.003647;
84.848175;-88.824028;
85.597160;-88.810577;
86.346146;-88.440369;
87.095139;-88.541138;
87.844124;-89.407974;
88.593109;-90.417091;
89.342102;-89.180771;
90.091087;-88.843925;
90.840073;-89.001984;
91.589066;-89.458290;
92.338051;-89.884308;
93.087036;-90.101135;
93.836029;-89.049896;
94.585014;-88.921616;
95.334000;-88.814117;
96.082993;-89.237206;
96.831978;-90.317879;
97.580963;-90.232674;
98.329956;-90.767502;
99.078941;-73.392410;
99.827927;-60.295067;
100.000000;-59.841904;
100.338715;-62.960079;
102.553413;-71.070374;
104.768112;-89.002907;
106.982803;-89.842087;
109.197495;-88.772156;
111.412193;-88.254570;
113.626892;-89.682327;
115.841583;-90.341545;
118.056274;-89.860619;
120.270973;-89.905769;
122.485672;-90.180687;
124.700363;-89.605812;
126.915054;-90.235222;
129.129761;-90.740784;
131.344452;-91.444954;
133.559143;-91.973534;
135.773834;-91.352089;
137.988525;-91.296761;
140.203232;-92.043610;
142.417923;-91.984489;
144.632614;-92.928391;
146.847321;-90.187508;
149.062012;-81.799789;
151.276703;-83.146408;
153.491394;-92.499779;
155.706085;-93.439339;
157.920792;-92.143471;
160.135483;-92.339592;
162.350174;-92.502350;
164.564880;-92.590553;
166.779572;-92.421921;
168.994263;-92.870178;
171.208954;-94.270584;
173.423645;-94.176193;
175.638351;-92.782928;
177.853043;-92.653534;
